No,Pengguna,Rating,Tanggal,Isi Ulasan,Ground Truth,Prediksi Naive Bayes,Prediksi Gemma 3 LLM,Kategori Isu (LLM),Alasan Penalaran AI,Beda Pendapat ML vs LLM
3563,ulil aini,1,2026-08-18,"sering error, loading lama.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3564,Rudymenz Theboy,4,2026-08-18,"masih percobaan, hanya saja untuk ambil antrian kadang susah",Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna mengapresiasi kemudahan antrean online dan efisiensi waktu faskes.,false
3565,simon Lahauwang,5,2026-08-18,bagus dan akurat,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3566,Putra Iwan,5,2026-08-18,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3567,Next Reel,1,2026-08-18,"Ratting bintang 1 dulu ya supaya pihak kedinasan yang menaungi juka berbenah. Karena kita masyarakat sudah cukup tau dengan banyaknya edukasi. dimana kita sangat paham anggaran kesehatan sangat mahal dan tinggi tapi kenapa sistem yg diciptakan sangat kualitasnya minim. lalu kenapa sistem meminta akses ke seluruh file? bukankah itu melanggar undang"" ITE?. lalu pengurusan perpindahan tempat sangat tidak fleksibel ada batas"" dll. padahal harusnya jika menggunakan sistem maka akan real-time.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3568,umar zamzami,5,2026-08-18,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3569,Rino Khoerudin,5,2026-08-18,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3570,Yanti Sinaga,3,2026-08-18,sulit untuk mengakses,Netral,Positif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,true
3571,budi yanto,1,2026-08-18,aplikasi babi susah di buka signal ok dia bilang signal tx ok,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3572,Farit Workshop,1,2026-08-18,sampah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3573,Sugi Bambang,1,2026-08-18,aplikasi pemerintah tapi eror truss akhir akhir ini. gak bisa di buka. gak bisa login .. gak bisa buat daftar baru . recaptha tidak muncul .. parah,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3574,Christin Ida,5,2026-08-18,Pelayanan baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3575,deo pramudia,4,2026-08-18,👍👍👍👍,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3576,cepi tohidin,5,2026-08-18,cepat tangap,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3577,yessy marthalina marbun,5,2026-08-18,Bagus sekali pelayanannya.,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3578,Ibra Magalih,1,2026-08-18,Apk tolol gk guna bikin ribet doang otp gk masuk emng jelek,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3579,To Kaili,5,2026-08-18,sangat membnatu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3580,Uhiliti Junior,5,2026-08-18,membantu bngt saat mau berobat di faskes 1,Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna mengapresiasi kemudahan antrean online dan efisiensi waktu faskes.,false
3581,arif setiadi,5,2026-08-18,"dengan JKN aplikasi menghemat waktu dan biaya,MANTAP",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3582,aprilina camelia putri,3,2026-08-18,kalau buka aplikasi sering bgt ke logout. mana mau login jg lama bgt. udah aktifin sidik jari jg masih sama aja kalo mau login ttp gabisa. cepet diperbaiki ya,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3583,Metland Cibitung mawar,5,2026-08-18,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3584,Dik Aja,1,2026-08-18,"percuma ada antrian oline,kalau yg di utamakan antrin offline",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3585,Agustina Aruan,5,2026-08-18,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3586,Yumma Samad,5,2026-08-18,bpjs Keren!!,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3587,adii .sw_,3,2026-08-18,"kenapa yaa tiap mau ganti sandi itu ""maaf sistem blablabla, mohon maaf atas ketidaknyamanannya"" kenapa sih? heran banget.",Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3588,Anak Orang,1,2026-08-18,"Ngirim kode OTP nya delay, lama, gak responsif. Error mulu, gak jelas.",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3589,Lumajang Eksotik,5,2026-08-18,"Aplikasi simple, ringan, dan covered layanan luas",Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3590,Rizal Chako,5,2026-08-18,mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3591,Zaadun A nya dua,1,2026-08-18,sering bad request,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3592,deodf,1,2026-08-18,"aplikasinya sangat jelek sering eror tolong diperbaiki lagi,mau masuk aja gk bisa",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3593,iis Linda,5,2026-08-18,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3594,Riki Ferdiansyah,1,2026-08-18,"otp gk masuk"" apk ga jelas emang busuk",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3595,Aidil Jovi,1,2026-08-18,"aplikasi ini tidak ada di HP saya, tidak bisa saya download,katanya tidak kompatibel di Perangkat saya, mohon bantuannya",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3596,supiantoro,5,2026-08-18,mantaaap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3597,usman sobari,5,2026-08-18,Aplikasi nya mempermudah segala hal..mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3598,Muhammad Alamsyah,1,2026-08-18,apk gratis jadi tidak berguna di negeri Konoha yg serba berbayar ini,Negatif,Negatif,Negatif,Administrasi & Iuran,"Pengguna mengeluhkan kendala mutasi data pembayaran, pengecekan tagihan, atau status autodebet iuran.",false
3599,You Never,1,2026-08-18,"Aplikasi macam apa ini? gw udah verifikasi wajah malah ""Gagal"" terus,pdhl udh sesuai standar berlaku.kenapa bisa ngebug gini? tolong mohon di perbaiki aplikasinya untuk sesi wajah,pdhl muka saya sudah di dalam kotak tersebut loh.lu mintanya muka atau setengah badan?",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna kesulitan dalam verifikasi biometrik pengenalan wajah saat pendaftaran / perubahan data.,false
3600,Accha Inha,5,2026-08-17,aplikasi sangat membantu dalam pengambilan antrian 🥰,Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna mengapresiasi kemudahan antrean online dan efisiensi waktu faskes.,false
3601,ispana giri bay lassy,5,2026-08-17,ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3602,Wina Winarti,5,2026-08-17,ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3603,Alif Alya,1,2026-08-17,"parah berapa MB DAN GB SIH memari apl nya. masak mau pembaharuan ga bisa2 katanya penyimpanan penuh,, pasahal masih ada 1GB RUANG KOSONG",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3604,Ummuy Salma,1,2026-08-17,JELEK BANGET!!!!!! UDAH PAKE WIFI MASIH GABISA BUKA DATA KEPESERTAAN👎🏻 MALAH MUNCUL PERIKSA KONEKSI INTERNET ANDA.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3605,Nana Agustin,1,2026-08-17,Ribet bgt mau daftar buka email bntr buat liat otp malah ngulang dari awal lagi daftarnya,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3606,idham kholid,1,2026-08-17,"aplikasi pemerintah tapi menyusahkan rakyat kecil dalam mengakses layanan kesehatan , tidak semua orang mampu update beli hp OS seri terbaru sekarang aplikasi ini hanya bisa terpasang di OS Android 10 keatas , sekelas m-banking aja masih bisa dipasang di seri OS 10 kebawah",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3607,Or Gha,5,2026-08-17,mantap,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3608,Filo Luju,4,2026-08-17,"bagus, lebih cepat",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3609,Solihin,5,2026-08-17,mantap bisa membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3610,Noor Qomari,5,2026-08-17,bagus sekali sangat membbantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3611,zacky asat,1,2026-08-17,"Saya sebagai masyarakat sangat Kecewa Dengan BPJS, Khusus nya pada aplikasi JKN Sekarang Ada beberapa point 1. Login Pada Aplikasi Sangat Sulit OTP yang dikirim via email, tidak masuk masuk Sekali nya masuk Sudah kadaluarsa 2. Daftar / Mengambil Antrian pun, baru login ke menu ambil antrian dari Sore sampe ketemu malam tidak bisa bisa... Tolong donk profesional, ini aplikasi menyangkut kesehatan/nyawa orang, hati hati kalian yang menyalahgunakan jabatan & kekuasaan..🙏🙏🙏",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3612,Ike Ferdiansah,3,2026-08-17,kenapa masukin kode otp gak masuk bosss...kode otp sudah sesuai yang di kirim..tapi GK bisa masuk...ah...gimana sihh????,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3613,Zheptie Shefha,1,2026-08-17,ribet ... setiap kali mau buka aplikasi koq hrs login dulu trs,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3614,Fitri yaa,5,2026-08-17,sangat membantu dan efisiensi waktu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3615,Vincentius Budijanto,1,2026-08-17,"setiap akan dipergunakan ,sering & selalu diperintahkan log in ,pdhl app TDK pernah log out , harus dari awal lagi saat isi capcha jelas jelas angkanya benar selalu ditolak sebenarnya ini app yg error apa mmg penggunanya dibuat error supaya cepat mati ?",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3616,M. Ichwan S. Berngam,5,2026-08-17,sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3617,Anak Ke3,2,2026-08-17,"ini gmn sih udah selesai daftar malah disuruh verifikasi akun lagi mksdnya gmn ini tolong di perbaiki jgan buat dipersulit di permudah biar orang"" gampang pakai aplikasi ini kasian yg pake BPJS",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3618,Zian Tara,5,2026-08-17,ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3619,eka harys,5,2026-08-17,tingkatkan,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3620,Hanny Anjely,5,2026-08-17,oke lah memudahkan,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3621,Vanilla Latte,1,2026-08-17,"Login ngga bisa, keterangannya akun belum terdaftar, padahal udah lama bikin akun dan biasanya bisa.Coba daftar ulang,masa keterangannya NIK belum terdaftar, sebelumnya juga tiap kali mau buka pasti udah ke logout",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3622,putri nuraliza,1,2026-08-17,susah bgt mau verifikasi wajah aja susah heran !,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna kesulitan dalam verifikasi biometrik pengenalan wajah saat pendaftaran / perubahan data.,false
3623,Abyfratama93@gmail.com @gmail.com,1,2026-08-17,Susah banget kalo udh keluar untuk masuk lagi apk apa bgini...,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3624,Soekardi Tuminah,1,2026-08-17,sumpahh inii apk apa sihh bukanya memudahkan eror terus pulsa udh ada kuotaa udhh ada jaringam stabil masa susah banget ini tuh menyangkut kesehatan masyarakat,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3625,Erdhi Saputra,5,2026-08-17,Alhamdulillah,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3626,Fahmilia lia,2,2026-08-17,"Dari pagi mw daftar offline terus, sampe skrg sampe ke klinik disuruh daftar online udah tw apk offline",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3627,Mustamir,5,2026-08-17,pelayanan sangat baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3628,Giyah 17,5,2026-08-17,"Gampang mau rubah faskes, sangat membantu buat daftar/ambil antri an",Positif,Positif,Positif,Apresiasi & Kepuasan,Pengguna mengapresiasi kemudahan antrean online dan efisiensi waktu faskes.,false
3629,Rini Banafsha22,5,2026-08-17,puasss banget,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3630,Nindi Sofianti,5,2026-08-17,bagussss,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3631,Dandy Risky,1,2026-08-17,aplikasi tolol anjung,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3632,muzena safira,5,2026-08-17,anak saya yg kecil kenapa Ndak ada ya di mobile JKN saya..,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3633,Ai siti Adawiyah,5,2026-08-17,puas banget,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3634,Ayu Saja,4,2026-08-17,good,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3635,Imel angel Sihotang,1,2026-08-17,"aplikasi bobrok, rating 1 pun tak layak ini hrusnya rating -100. sekelas aplikasi yang digunakan mengakses kesehatan aja sebobrok ini. Kerumah sakit hrus pakai ni aplikasi. tp aplikasi ini pun bobrok. kekmana mau maju klo aplikasi ginian aja sebobrok ini",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3636,Hendri Guniawan,5,2026-08-17,aplikasi sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3637,Pascal christovel Rengkuang,1,2026-08-17,"tlong di perbaiki lagi soal pendaftaran online nya dri stiap sya mau daftar online mlah gak bisa terus, percma ad aplikasi jkn in klo mau daftar online gk jdi",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3638,Dimitri Bogdanov,1,2026-08-17,Jelek. kadang bisa kadang kaga. Suka keluar akun sendiri pas masuk gagal mulu. Yang bener deh developer. Ngebantu kaga nyusahin iya kek gini,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3639,Aa Kurniawan,1,2026-08-17,ko jkn jadi error gini ya mau log in kode captha ya mute terus,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3640,Muna Sih,2,2026-08-17,"tolong ke depannya lebih diperbaiki lagi sistem login nya, biometrik dan nomor hp sudah diinputkan dari awal tapi enggan terverifikasi. Penyelesaian masalah langsung ke CS tapi hampir no respons, bagaimana ini??",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3641,Chan Sante,5,2026-08-17,Mobile JKN sangat membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3642,Rhasya As'at,1,2026-08-17,aplikasi kok sering benar ganguan.,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3643,Eko Istiyono,5,2026-08-17,ok,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3644,Iyan Hidayat,5,2026-08-17,👍👍👍👍👍,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3645,Friday Riski Firdausa,1,2026-08-17,susah banget dah,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3646,Muhammad Riski,5,2026-08-17,baguss,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3647,Gemu Gemu,2,2026-08-17,kenapa sekarang g bisa diakses?? slalu dibilang offline padahal wifi baik2 aja.. udah update juga tapi g bisa dipakai.. sementara mau daftar ke faskes harus lewat aplikasi..,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3648,Anisya Safyla,1,2026-08-17,"plis ribet bgt cara daftarnya,mana makai no tlpn salah salah trs.dan kameranya juga aga ribet",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3649,Rira Yustina,3,2026-08-17,"ribet banget plis, dari kemaren udah nyoba daftar sampai ganti nomor, beli pulsa, tetap gak bisa, gimana sih caranya? saya gak punya kartu bpjs, jadi berobat harus lewat apk ini buat ambil antrean, saya lagi kenak penyakit jadi tertunda mau berobat",Negatif,Negatif,Negatif,Layanan Faskes & Antrean,"Pengguna menyampaikan keluhan terkait antrean online, kuota poli rujukan yang penuh, atau jadwal dokter tidak sinkron.",false
3650,Adm Engineering,5,2026-08-17,"mudah cepat, aplikasi bagus",Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3651,Syahla Nadifa,1,2026-08-17,"ANEHHH MASA OTP DOANG HARUS ADA PULSANYA???? bikin ribet aja, aplikasi lain aja yang bukan LAYANAN MASYARAKAT ga seribet ini astagfirullah mempersulit aja",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3652,Sarah Seira,1,2026-08-17,kenapa setiap pemerintah membuat aplikasi tidak ada yg beneran bagus dan bekerja maximal. tolong dong ditingkatkan lgi. login susah. lemot bukan memudahkan TPI menyulitkan. mau priksa GK bisa munujukan kartu karna mau login gk muncul capcha nya. lol,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3653,M Ghinanjar,1,2026-08-17,aplikasi asu,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3654,Nana,1,2026-08-17,kode captchanya ga tampil² jadi ga bisa login,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3655,Faridahayati nur,3,2026-08-17,kenapa kok verivikasi nomor ga ada notifikasi masuk..... bantu dong gmn?,Netral,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3656,Vie3 Channel,3,2026-08-17,"sering error, kenapa tidak bisa Login ke aplikasinya?",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami kendala autentikasi login atau aplikasi sering force close / logout otomatis.,false
3657,Tian Abdul,1,2026-08-17,"sekarang versi android 8 udh ga bsa download jkn ,, harus bnget pke hp terbaru ??",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengalami gangguan teknis/error sistem yang menghambat penggunaan aplikasi.,false
3658,Comon123 Iyain,1,2026-08-17,"punya ku kenapa gabisa verifkasi akun ya,tolong dong secepatnya admin",Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengekspresikan kekecewaan umum terhadap kinerja aplikasi Mobile JKN.,false
3659,Alfarizqi Pratama,5,2026-08-17,baik,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3660,M. Rizky Satria,5,2026-08-17,Jadi lebih mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3661,Hazura Putry,4,2026-08-17,semoga applikasi ini membantu,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3662,Panca Maha,5,2026-08-17,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3663,Mohammad Agustsila Syamsuryadin,5,2026-08-17,mudah,Positif,Positif,Positif,Apresiasi & Kepuasan,"Pengguna merasa aplikasi sangat praktis, cepat, dan mempermudah akses layanan BPJS.",false
3664,Asmini,1,2026-08-17,tidak bisa daftar,Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna mengeluhkan alur navigasi dan kemudahan antarmuka aplikasi yang dianggap rumit.,false
3665,Achmad Kahfi,1,2026-08-17,BARU MAU MINTA KODE OTP SMS AJA UDAH DI PERSULIT. NUNGGU OTP SMS SAMPAI 3 MENIT DI TINGGAL BERAK DULU JUGA MASI KEBURU. APLIKASI BOBROK ANGGARAN DOANG GEDE. BIKIN APLIKASI GINI AJA GA NIAT BANGET. PALING SENENG KALO BIKIN RAKYAT NYA SULIT. REAL FAKTA,Negatif,Negatif,Negatif,Masalah Teknis & Bug,Pengguna mengeluhkan kegagalan penerimaan kode OTP melalui SMS dan waktu verifikasi habis.,false
3666,Chelsea Aulia,5,2026-08-17,bagus,Positif,Positif,Positif,Apresiasi & Kepuasan,Ulasan mengekspresikan kepuasan umum pengguna terhadap fungsionalitas aplikasi Mobile JKN.,false
3667,BuGuru Yolen,1,2026-08-17,"verifikasi wajah bapak saya gagal terus😭 kasian bapak saya padahal kondisinya sudah lansia, verifikasi wajah aplikasi bermasalah!!",Negatif,Negatif,Negatif,Fitur & UI/UX,Pengguna kesulitan dalam verifikasi biometrik pengenalan wajah saat pendaftaran / perubahan data.,false
